date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:11	48489/48489	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2016:19:13%20GMT	https://banco.santander.cl/personas	C:/My%20Web%20Sites/Shantander/banco.santander.cl/personas.html	(from )
13:19:12	44/44	---M-Z	200	added ('OK')	text/html	etag:W/%227a3b6f85cda53a90108524b5dfc6c157%22	https://banco.santander.cl/robots.txt		(from )
13:19:12	4286/4286	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	date:Sat,%2030%20Nov%202024%2016:19:14%20GMT	https://banco.santander.cl/uploads/000/028/085/c4d18bbd-8e6d-4578-9ba2-68b0f7f4a319/C32x32/favicon-santander.ico	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/028/085/c4d18bbd-8e6d-4578-9ba2-68b0f7f4a319/C32x32/favicon-santander.ico	(from https://banco.santander.cl/personas)
13:19:12	1186/1186	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202024%2016:19:14%20GMT	https://banco.santander.cl/uploads/000/008/311/e96018a2-4368-4437-9b24-7668f37a66fe/C57x57/apple_logo.png	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/008/311/e96018a2-4368-4437-9b24-7668f37a66fe/C57x57/apple_logo.png	(from https://banco.santander.cl/personas)
13:19:12	101/101	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2030%20Nov%202024%2016:19:14%20GMT	https://banco.santander.cl/	C:/My%20Web%20Sites/Shantander/banco.santander.cl/index.html	(from https://banco.santander.cl/personas)
13:19:12	1612/1612	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202024%2016:19:14%20GMT	https://banco.santander.cl/uploads/000/008/311/e96018a2-4368-4437-9b24-7668f37a66fe/C72x72/apple_logo.png	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/008/311/e96018a2-4368-4437-9b24-7668f37a66fe/C72x72/apple_logo.png	(from https://banco.santander.cl/personas)
13:19:13	4203/4203	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202024%2016:19:14%20GMT	https://banco.santander.cl/uploads/000/008/311/e96018a2-4368-4437-9b24-7668f37a66fe/C114x114/apple_logo.png	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/008/311/e96018a2-4368-4437-9b24-7668f37a66fe/C114x114/apple_logo.png	(from https://banco.santander.cl/personas)
13:19:13	5881/5881	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202024%2016:19:15%20GMT	https://banco.santander.cl/uploads/000/008/311/e96018a2-4368-4437-9b24-7668f37a66fe/C144x144/apple_logo.png	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/008/311/e96018a2-4368-4437-9b24-7668f37a66fe/C144x144/apple_logo.png	(from https://banco.santander.cl/personas)
13:19:13	200130/200130	---MC-	200	added ('OK')	application/javascript	date:Sat,%2030%20Nov%202024%2016:19:15%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-N4LG72Z	C:/My%20Web%20Sites/Shantander/www.googleoptimize.com/optimize0ba0.js	(from https://banco.santander.cl/personas)
13:19:13	36940/36940	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2016:19:15%20GMT	https://banco.santander.cl/informacion/navegador-no-compatible	C:/My%20Web%20Sites/Shantander/banco.santander.cl/informacion/navegador-no-compatible.html	(from https://banco.santander.cl/personas)
